k	version	build_s	serial_s	deser_s	query_s	index_bytes
15	naive	0.6927545070648193	0.44298744201660156	0.5394327640533447	0.027893543243408203	10324035
15	advanced	4.514940977096558	0.1595292091369629	0.12270331382751465	0.027637243270874023	4900732
21	naive	0.6977217197418213	0.4318530559539795	0.5482487678527832	0.021060466766357422	13061897
21	advanced	4.620568513870239	0.15711283683776855	0.21865272521972656	0.025604963302612305	8665980
27	naive	0.6959259510040283	0.4760425090789795	0.6846907138824463	0.029887914657592773	15839387
27	advanced	4.641843795776367	0.1569819450378418	0.15213584899902344	0.027434349060058594	8949640
31	naive	0.7723047733306885	0.5443356037139893	0.6267991065979004	0.02006816864013672	17709614
31	advanced	4.812811374664307	0.16739964485168457	0.1734023094177246	0.02018284797668457	12322364
41	naive	0.7469825744628906	0.677100419998169	0.626981258392334	0.02072429656982422	22433528
41	advanced	4.706894159317017	0.20090842247009277	0.15885353088378906	0.02449655532836914	12583831
